vernacularName,behavior,individualCount,season,eventDate,eventTime,decimalLatitude,decimalLongitude,locality,cloud_cover,precipitation,wind_speed,sea_condition,tide_movement,visibility,glare
Larus argentatus,RE= resting,5,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Gavia immer,FE= feeding,3,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Anas platyrhynchos,RE= resting,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Mergus merganser,FE= feeding,6,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Somateria mollissima,FE= feeding,12,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Laridae,FL= flying,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus marinus,FL= flying,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Branta canadensis,FL= flying,5,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Zenaida macroura,D= disturbed,1,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus delawarensis,RE= resting,8,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Somateria mollissima,RE= resting,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Somateria mollissima,FL= flying,6,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus argentatus,FE= feeding,4,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus argentatus,RE= resting,12,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Corvus brachyrhynchos,FE= feeding,2,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Phalacrocorax auritus,RE= resting,85,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Anas platyrhynchos,RE= resting,6,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Larus delawarensis,RE= resting,4,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Somateria mollissima,FE= feeding,8,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Larus argentatus,FL= flying,2,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Corvus brachyrhynchos,FL= flying,3,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Somateria mollissima,FL= flying,3,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Larus argentatus,FE= feeding,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Phalacrocorax auritus,FE= feeding,1,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Corvus brachyrhynchos,RE= resting,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Larus argentatus,FL= flying,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Corvus brachyrhynchos,FL= flying,1,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Somateria mollissima,RE= resting,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Larus argentatus,RE= resting,3,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Corvus brachyrhynchos,FE= feeding,6,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Phalacrocorax auritus,RE= resting,30,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Anas platyrhynchos,FE= feeding,4,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Larus delawarensis,FE= feeding,2,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Larus argentatus,FL= flying,1,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
